                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4055,                 3.8691,                  3.512,                 0.0142,                0.01724,                0.00408,                0.00095,                 2.7752,                 4.8572,                 3.1083,             0.00047511,             0.00047511,             0.00047511
                      2,                 2.4916,                  2.938,                 2.6246,                0.34826,                0.17816,                0.00968,                0.00199,                 2.3552,                 4.5992,                 2.7286,             0.00090435,             0.00090435,             0.00090435
                      3,                 2.1512,                 2.4501,                 2.2643,                0.03022,                0.35632,                0.02954,                0.01593,                 2.2189,                 5.0414,                 2.5396,              0.0012864,              0.0012864,              0.0012864
                      4,                 1.9909,                  2.225,                 2.0959,                0.01161,                0.18966,                0.01014,                0.00488,                 1.9653,                 4.6063,                 2.2651,              0.0012168,              0.0012168,              0.0012168
                      5,                 1.8943,                 2.0407,                 1.9902,                0.01228,                0.16667,                0.01337,                0.00521,                 2.0277,                 4.8005,                  2.259,              0.0012168,              0.0012168,              0.0012168
                      6,                 1.8325,                 1.9282,                 1.9081,                0.03568,                0.16667,                0.02995,                0.01605,                 1.9115,                  5.156,                 2.1108,              0.0011461,              0.0011461,              0.0011461
                      7,                 1.7845,                 1.8212,                 1.8535,                0.01979,                0.16667,                0.02528,                0.01463,                 1.8322,                 5.3664,                 2.1019,              0.0010753,              0.0010753,              0.0010753
                      8,                 1.7412,                 1.7403,                 1.8095,                0.01363,                0.16667,                0.02475,                0.01578,                 1.9826,                   5.15,                 2.2125,              0.0010046,              0.0010046,              0.0010046
                      9,                 1.6821,                  1.655,                 1.7502,                 0.0283,                0.16667,                0.02597,                0.01654,                 1.8995,                 4.9938,                 2.1317,             0.00093385,             0.00093385,             0.00093385
                     10,                 1.6636,                 1.6062,                 1.7305,                0.01064,                0.16667,                0.01489,                0.00739,                  1.832,                 5.0722,                  2.033,             0.00086312,             0.00086312,             0.00086312
                     11,                 1.5884,                 1.4049,                   1.69,                0.03676,                0.16667,                0.06601,                0.02688,                 2.0082,                 4.9915,                 2.2631,             0.00079238,             0.00079238,             0.00079238
                     12,                 1.5437,                 1.3212,                  1.647,                0.00922,                0.16667,                0.01728,                0.00971,                 1.8921,                  5.375,                 2.0891,             0.00072164,             0.00072164,             0.00072164
                     13,                  1.501,                 1.2496,                 1.6075,                 0.0124,                0.16667,                0.01546,                0.00744,                 1.8318,                 5.5805,                 2.0067,             0.00065091,             0.00065091,             0.00065091
                     14,                 1.4654,                 1.1868,                 1.5743,                0.02267,                0.34483,                0.01961,                0.00941,                 1.9394,                  5.264,                 2.1549,             0.00058017,             0.00058017,             0.00058017
                     15,                 1.4321,                 1.1492,                  1.551,                0.01457,                0.16667,                0.02057,                0.00877,                 1.8749,                 5.3787,                 2.0926,             0.00050944,             0.00050944,             0.00050944
                     16,                 1.3932,                 1.0929,                 1.5147,                0.01222,                0.33333,                0.01882,                0.01054,                 1.7951,                 5.3008,                 1.9751,              0.0004387,              0.0004387,              0.0004387
                     17,                  1.366,                 1.0626,                 1.4925,                0.01578,                0.16667,                 0.0249,                0.01031,                 1.7669,                 5.3201,                 1.9508,             0.00036797,             0.00036797,             0.00036797
                     18,                 1.3388,                 1.0224,                  1.466,                0.01713,                0.16667,                0.02241,                 0.0109,                 1.7605,                 5.3211,                  1.938,             0.00029723,             0.00029723,             0.00029723
                     19,                 1.3118,                0.99057,                 1.4446,                0.01592,                0.16667,                 0.0203,                0.00834,                 1.8509,                 5.3971,                 2.0741,              0.0002265,              0.0002265,              0.0002265
                     20,                 1.2861,                0.96467,                 1.4257,                0.02249,                0.35057,                0.01993,                0.00896,                 1.7976,                 5.4487,                 2.0378,             0.00015576,             0.00015576,             0.00015576
