                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4071,                 3.8626,                 3.5126,                0.34364,                0.01695,                 0.0103,                0.00299,                 2.8165,                 4.2444,                  3.055,             0.00047511,             0.00047511,             0.00047511
                      2,                 2.4739,                 2.9117,                 2.5998,                0.47608,                 0.0791,                0.08444,                0.03336,                 2.4133,                 3.5538,                 2.8556,             0.00093261,             0.00093261,             0.00093261
                      3,                 2.1566,                 2.4462,                 2.2365,                0.57719,                0.34182,                 0.2371,                0.09598,                 2.4529,                 2.7909,                 2.7032,              0.0013712,              0.0013712,              0.0013712
                      4,                   2.01,                 2.2393,                 2.0769,                0.14367,                0.32486,                0.16393,                0.08819,                 2.4595,                 3.2902,                 2.6071,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.9095,                 2.0691,                 1.9751,                0.43981,                0.62196,                0.30516,                  0.169,                 1.9421,                 2.2527,                 2.2164,              0.0013441,              0.0013441,              0.0013441
                      6,                  1.842,                 1.9497,                 1.8991,                0.33427,                0.62205,                0.32017,                0.18537,                 1.9916,                 2.4871,                 2.2601,              0.0013158,              0.0013158,              0.0013158
                      7,                 1.7891,                 1.8294,                 1.8296,                0.63997,                0.37571,                0.36581,                0.18645,                 1.9059,                 2.0518,                 2.1353,              0.0012875,              0.0012875,              0.0012875
                      8,                  1.746,                 1.7687,                 1.7934,                0.37372,                0.39947,                0.28306,                0.14941,                 2.0739,                 2.5415,                 2.2587,              0.0012592,              0.0012592,              0.0012592
                      9,                 1.6941,                  1.677,                   1.74,                  0.596,                0.37986,                0.45076,                 0.2728,                 1.9301,                 2.3344,                  2.125,              0.0012309,              0.0012309,              0.0012309
                     10,                 1.6775,                 1.6243,                 1.7203,                0.57611,                0.44454,                0.33192,                0.16891,                 2.0049,                 1.9574,                 2.2683,              0.0012026,              0.0012026,              0.0012026
                     11,                 1.6326,                 1.5679,                 1.6886,                  0.427,                0.47818,                0.33428,                 0.1816,                  1.946,                 2.0307,                 2.1632,              0.0011744,              0.0011744,              0.0011744
                     12,                 1.6101,                 1.5381,                 1.6586,                0.47291,                0.49532,                0.37225,                0.20757,                 1.8833,                 1.9425,                 2.1864,              0.0011461,              0.0011461,              0.0011461
                     13,                 1.5815,                 1.4813,                 1.6325,                0.43244,                0.50107,                0.37063,                0.20286,                  1.872,                 1.8391,                 2.1094,              0.0011178,              0.0011178,              0.0011178
                     14,                 1.5551,                  1.434,                 1.6079,                0.46615,                0.47847,                0.32339,                0.18338,                 1.9802,                 2.0996,                 2.2443,              0.0010895,              0.0010895,              0.0010895
