                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4071,                 3.8626,                 3.5126,                0.34364,                0.01695,                 0.0103,                0.00299,                 2.8165,                 4.2444,                  3.055,             0.00047511,             0.00047511,             0.00047511
                      2,                 2.4809,                 2.9183,                 2.6121,                  0.577,                0.27401,                 0.1676,                0.06906,                 2.3547,                 3.2854,                 2.5756,             0.00094203,             0.00094203,             0.00094203
                      3,                 2.1572,                 2.4472,                 2.2394,                0.16554,                0.43604,                0.18081,                0.06422,                 2.4932,                 3.3151,                 2.6342,              0.0013995,              0.0013995,              0.0013995
                      4,                 2.0092,                 2.2316,                 2.0797,                0.55931,                0.30174,                0.22343,                0.11453,                 2.0943,                 2.4845,                 2.3636,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.9083,                 2.0728,                 1.9774,                0.55548,                0.55355,                 0.3099,                0.16101,                 2.0972,                 2.5449,                 2.3192,              0.0013866,              0.0013866,              0.0013866
                      6,                 1.8421,                 1.9579,                 1.8999,                0.54942,                0.41574,                 0.2917,                0.15191,                  1.902,                 2.1868,                 2.1425,              0.0013724,              0.0013724,              0.0013724
                      7,                 1.7937,                 1.8389,                 1.8363,                0.70207,                0.31374,                0.35232,                0.20133,                 2.0208,                 2.1828,                 2.2072,              0.0013583,              0.0013583,              0.0013583
                      8,                 1.7517,                 1.7736,                 1.8003,                0.45727,                0.63939,                0.36304,                0.19635,                 1.9285,                 1.9927,                 2.1016,              0.0013441,              0.0013441,              0.0013441
                      9,                 1.6962,                 1.6806,                 1.7432,                0.42682,                0.44322,                0.33933,                0.19013,                 1.8571,                 2.2788,                 2.0376,                0.00133,                0.00133,                0.00133
                     10,                 1.6796,                 1.6423,                 1.7263,                0.42303,                0.43235,                0.30704,                0.16625,                 1.9433,                 2.3506,                 2.1956,              0.0013158,              0.0013158,              0.0013158
                     11,                 1.6356,                 1.5755,                 1.6925,                 0.5245,                0.31758,                0.32427,                0.17756,                 1.8366,                 1.7918,                 2.0602,              0.0013017,              0.0013017,              0.0013017
                     12,                 1.6177,                 1.5413,                 1.6659,                0.39884,                0.67339,                0.33747,                0.18209,                 1.8848,                 2.0245,                 2.1111,              0.0012875,              0.0012875,              0.0012875
                     13,                 1.5865,                 1.4925,                 1.6374,                0.43091,                0.30279,                0.31274,                0.16935,                 1.9917,                 1.9719,                 2.1712,              0.0012734,              0.0012734,              0.0012734
