                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     14,                 1.5726,                 1.4546,                 1.6181,                0.35342,                0.51227,                 0.3607,                 0.1912,                 1.8638,                 2.0071,                   2.05,              0.0012592,              0.0012592,              0.0012592
                     15,                 1.5391,                 1.4077,                 1.5968,                0.60611,                0.42753,                0.34804,                0.19651,                 1.9019,                 1.8934,                 2.0785,              0.0012451,              0.0012451,              0.0012451
                     16,                 1.5319,                 1.3867,                 1.5849,                0.62899,                0.45785,                0.39972,                0.21729,                 1.8441,                  1.671,                 2.0489,              0.0012309,              0.0012309,              0.0012309
                     17,                 1.5034,                 1.3533,                 1.5565,                0.52218,                0.47483,                0.37986,                0.19985,                  1.993,                 2.0501,                 2.1851,              0.0012168,              0.0012168,              0.0012168
                     18,                 1.4885,                 1.3152,                 1.5457,                0.64233,                0.47184,                0.42297,                0.23691,                 1.6975,                 1.5748,                 1.9753,              0.0012026,              0.0012026,              0.0012026
                     19,                 1.4704,                 1.2827,                 1.5232,                0.43305,                0.54072,                0.36549,                0.20674,                  1.813,                 1.7382,                  2.051,              0.0011885,              0.0011885,              0.0011885
                     20,                 1.4643,                 1.2698,                 1.5086,                0.47897,                0.51612,                0.37144,                0.21549,                 1.7002,                  1.689,                 1.8903,              0.0011744,              0.0011744,              0.0011744
                     21,                 1.4399,                 1.2397,                 1.4919,                0.53461,                0.34846,                0.40214,                0.22629,                 1.7757,                 1.6229,                 1.9055,              0.0011602,              0.0011602,              0.0011602
                     22,                 1.4346,                 1.2342,                 1.4913,                0.55802,                0.53516,                0.39539,                0.22727,                 1.6912,                  1.642,                 1.9951,              0.0011461,              0.0011461,              0.0011461
                     23,                 1.4243,                 1.1972,                 1.4753,                0.55311,                0.49571,                0.37572,                0.21227,                 1.6461,                 1.8064,                 1.8115,              0.0011319,              0.0011319,              0.0011319
                     24,                 1.4131,                  1.189,                 1.4636,                 0.4935,                0.69063,                0.36705,                0.19821,                  1.757,                 1.8358,                 1.9671,              0.0011178,              0.0011178,              0.0011178
                     25,                 1.3982,                 1.1739,                 1.4504,                0.52847,                0.48886,                0.37536,                0.21748,                 1.6745,                 1.6949,                 1.8734,              0.0011036,              0.0011036,              0.0011036
                     26,                 1.3975,                 1.1647,                 1.4519,                0.37474,                0.52896,                0.33749,                 0.1891,                 1.8023,                 1.8596,                  1.992,              0.0010895,              0.0010895,              0.0010895
                     27,                 1.3809,                 1.1424,                 1.4395,                0.43835,                0.48997,                0.38641,                0.21939,                 1.7297,                 1.8834,                 1.9012,              0.0010753,              0.0010753,              0.0010753
                     28,                 1.3684,                 1.1238,                 1.4247,                0.41801,                0.50692,                0.35731,                0.20193,                 1.7555,                 1.8127,                 1.9418,              0.0010612,              0.0010612,              0.0010612
                     29,                 1.3519,                 1.1093,                 1.4162,                0.56571,                0.33328,                0.38404,                0.21678,                 1.6992,                 1.6862,                 1.8815,               0.001047,               0.001047,               0.001047
                     30,                 1.3494,                 1.1041,                 1.4121,                0.45051,                0.67923,                0.37667,                0.21588,                 1.6787,                 1.7108,                 1.8822,              0.0010329,              0.0010329,              0.0010329
                     31,                 1.3382,                 1.0893,                 1.4045,                0.53516,                0.51858,                 0.4127,                0.23767,                  1.596,                 1.5139,                 1.7488,              0.0010187,              0.0010187,              0.0010187
                     32,                 1.3373,                  1.075,                  1.401,                0.45076,                0.70768,                0.40346,                0.23023,                  1.655,                 1.5754,                 1.8982,              0.0010046,              0.0010046,              0.0010046
                     33,                 1.3226,                 1.0614,                 1.3941,                0.45856,                0.69628,                0.39741,                0.23835,                 1.6772,                 1.5806,                 1.8778,             0.00099044,             0.00099044,             0.00099044
                     34,                 1.3153,                 1.0476,                  1.389,                0.53685,                0.34381,                0.40922,                0.23058,                 1.6409,                 1.5259,                  1.843,             0.00097629,             0.00097629,             0.00097629
                     35,                  1.302,                  1.039,                 1.3794,                0.38026,                0.39781,                0.38008,                0.21919,                 1.6294,                 1.7028,                 1.8177,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.3026,                 1.0379,                 1.3769,                0.51494,                 0.3233,                0.34924,                0.21372,                 1.6513,                 1.7204,                 1.8648,               0.000948,               0.000948,               0.000948
                     37,                 1.3008,                 1.0317,                 1.3772,                0.48153,                  0.312,                 0.3605,                0.21415,                 1.7369,                 1.8335,                 1.9067,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.2831,                 1.0226,                 1.3636,                0.48433,                0.35168,                0.36729,                0.21061,                 1.7365,                  1.768,                 1.9324,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.2853,                 1.0014,                 1.3517,                0.38829,                0.37525,                0.38311,                 0.2211,                 1.6898,                 1.6186,                 1.8687,             0.00090556,             0.00090556,             0.00090556
                     40,                 1.2639,                0.99357,                 1.3478,                0.38353,                0.56945,                0.37595,                0.21368,                  1.656,                 1.6681,                 1.8521,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.2648,                0.97286,                 1.3452,                0.50985,                0.53152,                0.41183,                0.22218,                 1.7267,                 1.5539,                 1.9193,             0.00087726,             0.00087726,             0.00087726
                     42,                 1.2579,                0.98279,                 1.3453,                0.45256,                0.55597,                0.39183,                0.23392,                 1.5973,                 1.5764,                  1.745,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.2565,                 0.9637,                 1.3346,                0.38254,                0.35756,                0.38473,                0.21476,                 1.6556,                 1.6449,                 1.8505,             0.00084897,             0.00084897,             0.00084897
                     44,                 1.2444,                0.96351,                 1.3346,                0.48305,                0.35165,                0.37778,                0.22047,                 1.7203,                  1.644,                 1.8872,             0.00083482,             0.00083482,             0.00083482
                     45,                 1.2355,                0.95357,                 1.3253,                0.38692,                 0.7126,                 0.4061,                0.23508,                 1.6013,                 1.4844,                 1.7865,             0.00082067,             0.00082067,             0.00082067
                     46,                 1.2343,                0.94869,                 1.3213,                0.51234,                0.35474,                0.39143,                0.23696,                 1.6114,                 1.5681,                 1.7875,             0.00080653,             0.00080653,             0.00080653
                     47,                 1.2339,                0.94223,                 1.3199,                0.53831,                0.34025,                0.39587,                0.23861,                 1.5906,                 1.5756,                 1.7673,             0.00079238,             0.00079238,             0.00079238
                     48,                 1.2257,                0.93069,                 1.3139,                0.44712,                0.52387,                0.39262,                0.23418,                 1.5618,                 1.5117,                 1.7427,             0.00077823,             0.00077823,             0.00077823
                     49,                 1.2136,                0.93062,                 1.3134,                0.55788,                0.49265,                0.39071,                  0.229,                 1.6399,                 1.6748,                 1.8773,             0.00076409,             0.00076409,             0.00076409
                     50,                  1.208,                0.91228,                 1.3005,                0.48386,                0.36476,                0.40551,                0.23993,                 1.5929,                 1.5596,                 1.7849,             0.00074994,             0.00074994,             0.00074994
                     51,                 1.2078,                0.91354,                 1.2996,                0.43722,                0.39815,                0.39572,                0.22393,                 1.6406,                 1.5021,                 1.8239,             0.00073579,             0.00073579,             0.00073579
                     52,                 1.2064,                0.91506,                 1.2996,                0.42026,                0.55815,                0.40603,                0.23645,                 1.6338,                 1.5595,                 1.8073,             0.00072164,             0.00072164,             0.00072164
                     53,                 1.2054,                0.91182,                 1.2976,                0.40455,                0.55428,                0.38997,                0.22195,                 1.6096,                 1.6142,                 1.8181,              0.0007075,              0.0007075,              0.0007075
                     54,                 1.1931,                0.89569,                 1.2906,                0.33944,                0.58205,                0.40838,                0.22747,                 1.6622,                 1.5739,                 1.8431,             0.00069335,             0.00069335,             0.00069335
                     55,                 1.1981,                 0.8917,                 1.2873,                0.38181,                0.39714,                0.40649,                0.24452,                 1.5817,                 1.5365,                 1.7866,              0.0006792,              0.0006792,              0.0006792
                     56,                 1.1799,                0.88424,                 1.2755,                0.36687,                0.40742,                0.38543,                0.23418,                 1.6143,                 1.5743,                  1.823,             0.00066506,             0.00066506,             0.00066506
                     57,                 1.1894,                0.88423,                 1.2825,                 0.4017,                0.74201,                 0.4041,                0.23954,                 1.6189,                 1.4426,                 1.8092,             0.00065091,             0.00065091,             0.00065091
                     58,                 1.1716,                0.87419,                 1.2765,                0.39914,                0.58669,                0.40614,                0.23264,                 1.6752,                 1.5603,                 1.9304,             0.00063676,             0.00063676,             0.00063676
                     59,                 1.1769,                0.87039,                  1.276,                0.39387,                0.58104,                0.40871,                0.23397,                  1.646,                 1.5677,                 1.8776,             0.00062262,             0.00062262,             0.00062262
                     60,                 1.1746,                0.87605,                 1.2781,                0.39649,                0.71928,                0.41121,                0.23548,                 1.6692,                 1.5214,                 1.8648,             0.00060847,             0.00060847,             0.00060847
                     61,                 1.1557,                0.85372,                 1.2582,                0.37894,                0.54177,                    0.4,                 0.2317,                 1.7074,                 1.6556,                  1.918,             0.00059432,             0.00059432,             0.00059432
                     62,                 1.1614,                0.85768,                 1.2665,                0.37203,                0.56984,                0.40989,                 0.2366,                 1.6353,                 1.5615,                 1.8462,             0.00058017,             0.00058017,             0.00058017
                     63,                 1.1578,                0.84853,                  1.259,                 0.4193,                0.72501,                0.41792,                0.24322,                 1.6733,                  1.553,                 1.9023,             0.00056603,             0.00056603,             0.00056603
                     64,                 1.1525,                0.84035,                 1.2599,                0.36434,                 0.5526,                0.39707,                0.23057,                 1.6923,                 1.5912,                 1.9084,             0.00055188,             0.00055188,             0.00055188
                     65,                 1.1514,                0.84249,                 1.2573,                0.39045,                0.56209,                0.38243,                0.21957,                 1.6511,                 1.6478,                 1.8599,             0.00053773,             0.00053773,             0.00053773
                     66,                 1.1435,                0.83156,                  1.251,                0.32266,                0.56639,                0.38907,                0.23109,                  1.596,                 1.6872,                 1.7941,             0.00052359,             0.00052359,             0.00052359
                     67,                 1.1396,                0.83018,                 1.2471,                0.39285,                0.55509,                0.38231,                0.21989,                 1.6117,                 1.6845,                 1.7929,             0.00050944,             0.00050944,             0.00050944
                     68,                 1.1365,                0.82313,                 1.2458,                0.48364,                0.36334,                0.40182,                0.22994,                 1.6454,                 1.6313,                 1.8282,             0.00049529,             0.00049529,             0.00049529
                     69,                 1.1352,                0.82893,                 1.2488,                0.41126,                0.38355,                0.38583,                0.21136,                 1.7257,                 1.7673,                 1.9191,             0.00048114,             0.00048114,             0.00048114
                     70,                  1.132,                0.82657,                 1.2483,                0.38477,                0.57128,                0.39315,                0.21689,                 1.7208,                 1.7014,                 1.9306,               0.000467,               0.000467,               0.000467
                     71,                 1.1302,                0.81381,                 1.2413,                0.55417,                0.35184,                0.40116,                0.22752,                 1.6825,                 1.6307,                 1.8616,             0.00045285,             0.00045285,             0.00045285
                     72,                 1.1146,                0.80607,                 1.2383,                0.48807,                 0.3927,                0.40443,                0.23404,                 1.6553,                 1.7256,                 1.8566,              0.0004387,              0.0004387,              0.0004387
                     73,                  1.117,                0.80844,                 1.2335,                 0.4659,                0.38642,                0.39661,                0.23561,                 1.6107,                 1.6623,                  1.818,             0.00042456,             0.00042456,             0.00042456
                     74,                 1.1187,                0.80187,                 1.2342,                0.43684,                0.37989,                0.38983,                0.22547,                 1.6598,                 1.6841,                 1.8539,             0.00041041,             0.00041041,             0.00041041
                     75,                  1.106,                0.80037,                 1.2271,                0.49301,                0.35749,                0.39724,                0.23072,                 1.6298,                 1.6932,                 1.8545,             0.00039626,             0.00039626,             0.00039626
                     76,                 1.1001,                 0.7879,                 1.2235,                0.35573,                0.38593,                0.38646,                0.22237,                 1.6205,                 1.7651,                 1.8461,             0.00038211,             0.00038211,             0.00038211
                     77,                 1.1065,                 0.7922,                 1.2262,                0.38864,                0.38319,                0.38549,                 0.2238,                 1.6183,                 1.7421,                 1.8594,             0.00036797,             0.00036797,             0.00036797
                     78,                 1.1013,                0.78707,                  1.221,                0.47377,                0.36635,                0.40489,                0.23759,                 1.5984,                 1.7104,                  1.805,             0.00035382,             0.00035382,             0.00035382
                     79,                 1.1002,                0.78308,                 1.2233,                0.38319,                0.41438,                0.40441,                0.23289,                 1.5714,                 1.7098,                 1.7814,             0.00033967,             0.00033967,             0.00033967
                     80,                 1.0937,                0.77974,                 1.2198,                0.37387,                0.58234,                0.41066,                0.23066,                 1.6242,                 1.6656,                  1.825,             0.00032553,             0.00032553,             0.00032553
                     81,                 1.0986,                0.77857,                 1.2198,                0.38495,                0.72779,                0.39741,                0.23267,                 1.6392,                 1.7602,                 1.8254,             0.00031138,             0.00031138,             0.00031138
                     82,                 1.0763,                0.76365,                 1.2108,                 0.3798,                0.57365,                0.39819,                0.22937,                 1.6363,                 1.7778,                 1.8075,             0.00029723,             0.00029723,             0.00029723
                     83,                 1.0783,                0.76842,                 1.2068,                0.45307,                0.35204,                0.38271,                0.22256,                 1.6837,                 1.7346,                 1.8441,             0.00028308,             0.00028308,             0.00028308
                     84,                 1.0867,                0.76632,                 1.2179,                0.47986,                0.35933,                0.39365,                0.22572,                 1.6696,                 1.7685,                 1.8822,             0.00026894,             0.00026894,             0.00026894
                     85,                 1.0713,                0.76389,                 1.2053,                0.42995,                0.35304,                0.38952,                 0.2234,                 1.6782,                 1.8034,                 1.8767,             0.00025479,             0.00025479,             0.00025479
                     86,                 1.0794,                0.75996,                 1.2118,                0.42991,                0.55332,                0.39485,                0.22722,                 1.6749,                 1.7308,                 1.8726,             0.00024064,             0.00024064,             0.00024064
                     87,                  1.066,                0.75268,                 1.1992,                 0.4263,                0.55218,                0.38921,                0.22464,                 1.6575,                 1.7389,                 1.8422,              0.0002265,              0.0002265,              0.0002265
                     88,                 1.0699,                 0.7541,                 1.2026,                0.41769,                 0.3964,                0.39342,                0.22394,                 1.6485,                 1.7273,                 1.8167,             0.00021235,             0.00021235,             0.00021235
                     89,                 1.0685,                0.75726,                 1.2069,                0.39394,                0.40873,                0.39523,                0.22508,                 1.6659,                 1.7182,                 1.8401,              0.0001982,              0.0001982,              0.0001982
                     90,                 1.0605,                0.75171,                 1.2011,                0.39017,                0.58255,                0.39622,                0.22474,                 1.6548,                 1.6977,                  1.846,             0.00018406,             0.00018406,             0.00018406
                     91,                 0.9992,                0.63357,                 1.1738,                0.38563,                0.55345,                0.38964,                 0.2274,                 1.6875,                 1.7954,                 1.9091,             0.00016991,             0.00016991,             0.00016991
                     92,                0.98871,                0.62751,                 1.1759,                0.39614,                0.55765,                0.39238,                0.22749,                 1.6767,                 1.8116,                 1.8944,             0.00015576,             0.00015576,             0.00015576
                     93,                 0.9824,                0.62442,                 1.1688,                0.38721,                0.56607,                0.39822,                 0.2308,                 1.6755,                 1.8223,                 1.8951,             0.00014161,             0.00014161,             0.00014161
                     94,                0.97554,                0.61048,                 1.1618,                0.40576,                0.56077,                0.39763,                0.22986,                 1.6679,                 1.8245,                 1.8779,             0.00012747,             0.00012747,             0.00012747
                     95,                0.96349,                0.60151,                 1.1586,                0.42989,                0.55232,                0.39581,                0.22742,                 1.6499,                 1.8064,                 1.8811,             0.00011332,             0.00011332,             0.00011332
                     96,                0.96286,                0.60022,                 1.1519,                0.44071,                0.54922,                 0.3934,                0.22532,                 1.6446,                 1.8002,                 1.8651,             9.9173e-05,             9.9173e-05,             9.9173e-05
